"address","mirrorAddress","votes","available","poolAddress","isPoSNode"
"cfx:aat8nhdnx7r6u432tmr2n0g0p3fgws913ahvnu234s","0x7659b71Ec5c44c731a94dC0A9117d0eefDDb5e8a","1","1","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aam41drczj91f5245au4rd7ggyken8b0t2gd46dm5b","0xD90D9a25f4b359Cb471152aE032Fde327e39FeFb","28","28","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aakkbdkrayp0b7aw1n0yby1j1785z525n221yutume","0x1457cB087bD50617219c44cAB7172982eCE7e703","8","8","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aajgzrt7ry527dfrua95asydnz1392tmw24nsdj5e4","0x964CeFBA989053eFdbFAD73c6Af8f323b39eBae7","3","3","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aar0yg7xpf31mcpc1na4fp040vfuua291y1u38hxy5","0x9116a5C07766Ca23a5CC3EedBEdB425cc5fB29BD","6","6","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aana69pkuejepk4ca37pmentm5sgda99m2y0kn3rzw","0x2Ec33B79f879861ac05F0f8F9E5faec2F87e1966","1","1","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aamvgdtajs42k9a3n7u5uhhj8kw9fh16ppjt56b6re","0xAfc76c24b1d2227EF3bBf767b5E326aE347cAc73","1","1","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aasnc2x78zjas4wup7j4c1u4mzw8z7t7bycmd73ufv","0x9c8E62e5f91fb1e14eb7e89F6cd4cc88E5996EEd","0","0","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aasspkebaty3xsygbp68vsbce47xmp0say9c74aunf","0xb39AA0A09f0AEC2e3B2A8FE0Ef633f7EC0A4E402","1","1","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aanjcf80h6s64kp0ffcz5f6wc6nt3v7x163kyb5rx6","0xcDbFE54b098D8bC7A04c782c542abe7aB382719C","30","30","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aapwwam53gfjzrj5372pkw2t8mgyxv3h26s63x38mj","0xf6Bc50e3f070Ad1bDc003Ccb7FFf4347313766a4","5","5","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aat20ukey49p98f4c501buuvfbtkwzyzwah72ccn44","0xeE12D485a15d3479074ccdeD14B8459B765f7E7E","10","10","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aar51vkppw3hamg6c40xe9u24c7e8f871jrxd20kdd","0x5Aa92a0f34cA02d073A243FF36851F9CF617Fb24","114","114","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aakj6jtj97g28zhdd0mwtmma0xbhx68khyykujbmvc","0x9772eA52E4EE6793AeF604719826Ac743e8758EA","53","53","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aanvs1ghgsp9xfgku44nu0e3v7fsbksxzefxexhm6g","0x32d551e16DFEC9e13e8f6f4A83c0306364784ff1","2","2","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aamz7kau7ybtzr84c4a827utnh4hm7892uzjc6y5uv","0x48CcE795B7e02d1EC81984E4D014283a43B44d51","7","7","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aarnavae5a01pu5k40tan26m7vkjdh5zcydtdjsjb2","0x491d1cF46A33F3277f9605d1aFEe488F3Bc9e2c8","6","6","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aan0kge7n1rmv4jyne67n94az4gbjpe6vp30v1zauj","0x0eC357b2e2dF0508b8b9a01C3A0bD77d7642692d","110","110","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aajpx3mjewyzwfytpduvva31w16stfhfs6s49dbbzw","0x254C155A22479a1Bc2b404285c9b9D8279422d58","12","12","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
"cfx:aap3kxept6gy7dh1h4p7uzzp7ep8jn179extp0abj2","0x5086AFb8358dD652F094AE6C9B6D63516B8613a6","129","129","cfx:acdj1y1r00mzvuw9s831rj1t5amst2405jv582syu0",false
